"","StuNum","avgYearPack","numYearAward","SexCode","MaritalCode","LeadCategoryCode","PrevEdCode","AdmRepName","ProgramCode","CitizenCode","IsHispanic","DDVeteran","cancelFlag.x"
"149","10729",25971.6666666667,3,"M","S","REF","SOMECOLL","15","2","US","2","0","0"
"150","10454",20331,4,"F","S","INTINT","SOMECOLL","15","2","US","2","0","0"
"151","10008",28602.7525,4,"F","S","REF","HS","15","2","US","2","0","0"
"152","11826",26070.0166666667,3,"F","S","REF","SOMECOLL","15","2","US","2","0","0"
"153","11280",17519.0825,4,"F","M","INTINT","SOMECOLL","15","2","US","2","0","0"
"154","10418",52653,1,"F","M","REF","HS","14","2","US","2","0","0"
"155","11237",24906.278,5,"M","D","INTINT","ASSOC","15","2","US","2","0","0"
"156","10764",24760.3333333333,3,"F","M","PPC","ASSOC","15","2","US","2","0","0"
"157","10938",15895,1,"F","S","REF","ASSOC","08","1","US","1","0","1"
"158","11500",27560,3,"F","S","REF","HS","14","2","US","1","0","0"
"159","10696",27708,2,"F","S","INTINT","SOMECOLL","15","2","US","1","0","0"
"160","10510",30165.6666666667,3,"F","M","RADIO","HS","03","1","US","2","0","0"
"161","11286",29983.085,4,"F","S","INTER","HS","15","2","US","2","0","0"
"162","10620",38619.415,2,"F","S","REF","SOMECOLL","23","2","US","2","0","0"
"163","11930",22313.625,4,"F","S","REF","SOMECOLL","15","1","US","2","0","0"
"164","10463",25006.3666666667,3,"F","S","REF","HS","15","2","US","2","0","0"
"165","11718",9500,1,"F","D","INTINT","BACH","08","2","US","2","0","1"
"166","10534",34018.6666666667,3,"F","M","INTINT","ASSOC","07","2","US","1","0","0"
"167","10518",30235.4166666667,3,"F","M","OUTDOOR","SOMECOLL","15","2","US","1","0","0"
"168","12157",37241.95,2,"F","S","INTINT","HS","15","2","US","2","0","0"
"169","11746",26055.75,2,"F","S","REF","SOMECOLL","15","2","US","2","0","0"
"170","11653",15622.0575,4,"F","S","OUTDOOR","HS","07","2","US","1","0","0"
"171","11577",18105.55,4,"M","S","REF","SOMECOLL","15","2","US","2","0","0"
"172","10690",6016,1,"F","M","REF","HS","15","2","US","1","0","0"
"173","10170",41158.5,2,"F","S","RADIO","BACH","15","2","US","2","0","0"
"174","10540",23774.0333333333,3,"F","S","INTINT","BACH","15","2","US","2","0","0"
"175","10665",34660.58,2,"F","S","INTINT","SOMECOLL","15","2","US","2","0","0"
"176","11184",28142.1233333333,3,"F","M","RADIO","UN","15","2","US","2","0","0"
"177","12077",21726.25,4,"F","S","REF","SOMECOLL","15","2","US","2","0","0"
"178","10017",26468.0566666667,3,"F","S","INTINT","SOMECOLL","15","2","US","2","0","0"
"179","12189",26810.3366666667,3,"F","M","INTINT","SOMECOLL","15","2","US","2","0","0"
"180","10395",25963,1,"F","M","PPC","SOMECOLL","07","2","US","2","0","1"
"181","11330",29440.9333333333,3,"M","M","REF","SOMECOLL","15","2","US","2","0","0"
"182","10348",17823.11,2,"F","P","REF","SOMECOLL","03","2","US","2","0","0"
"183","10615",26794.61,3,"F","M","REF","SOMECOLL","15","2","US","1","0","0"
"184","10353",37128.645,2,"F","M","REF","BACH","20","2","US","2","0","0"
"185","11312",23139.4933333333,3,"F","D","RADIO","BACH","07","2","US","2","0","0"
"186","10839",25463.8475,4,"F","S","INTINT","SOMECOLL","15","2","US","2","0","0"
"187","10419",34655.645,2,"F","S","PPC","HS","15","2","US","1","0","0"
"188","11772",62639,2,"F","S","INTINT","SOMECOLL","15","2","US","2","0","0"
"189","11158",25885.46,3,"F","S","REF","SOMECOLL","15","2","US","1","0","0"
"190","11521",27738,1,"F","D","REF","SOMECOLL","14","2","US","2","0","1"
"191","10422",19734.62,4,"F","S","INTINT","ASSOC","07","2","US","1","0","0"
"192","11333",22663,4,"F","M","REF","SOMECOLL","15","1","US","2","0","0"
"193","11084",25561.3333333333,3,"F","S","REF","SOMECOLL","15","2","US","2","0","0"
"194","10884",27120,1,"F","S","REF","SOMECOLL","15","2","US","1","0","0"
"195","11247",28188.5,2,"F","M","INTINT","BACH","07","2","US","1","0","0"
"196","11759",24841.87,4,"F","P","PPC","SOMECOLL","15","2","US","2","0","0"
"197","11756",22838.3333333333,3,"F","M","INTINT","SOMECOLL","15","1","US","1","0","0"
"198","10479",24952.24,3,"M","M","INTINT","ASSOC","15","2","US","2","0","0"
"199","12068",26653,4,"F","D","INTINT","SOMECOLL","07","2","US","1","0","0"
"200","10492",2770,1,"F","S","INTINT","SOMECOLL","07","2","US","2","0","0"
"201","11685",26635,1,"F","S","REF","ASSOC","31","2","US","1","0","1"
"202","11356",19272.905,2,"F","S","RADIO","HS","15","2","US","1","0","0"
"203","11376",51086.5,2,"M","S","REF","ASSOC","07","2","US","1","0","0"
"204","11167",996.25,1,"F","S","INTINT","ASSOC","07","2","US","2","0","0"
"205","10712",27691.3333333333,3,"M","S","INTINT","SOMECOLL","15","2","US","2","0","0"
"206","11018",27098,2,"F","S","REF","SOMECOLL","30","2","US","1","0","0"
"207","10719",25898.6666666667,3,"F","S","INTINT","SOMECOLL","15","2","US","2","0","0"
"208","11836",33032.0333333333,3,"F","S","PPC","SOMECOLL","07","2","US","2","0","0"
"209","11534",13335.625,2,"F","S","INTINT","BACH","15","2","US","2","0","0"
"210","11810",35910,2,"F","S","RADIO","BACH","15","2","US","2","0","0"
"211","10216",28058.4833333333,3,"F","M","INTINT","SOMECOLL","15","2","US","2","0","0"
"212","10143",26430.2033333333,3,"F","D","EMAIL","SOMECOLL","03","2","US","2","0","0"
"213","10323",18008.335,4,"F","UN","REF","SOMECOLL","15","2","US","2","0","0"
"214","10787",23233.71,4,"F","S","REF","SOMECOLL","07","2","US","1","0","0"
"215","11502",32296.6666666667,3,"F","S","OUTDOOR","HS","15","1","US","1","0","0"
"216","11634",23718,1,"F","D","REF","SOMECOLL","14","2","US","2","0","0"
"217","10407",6295.5,1,"F","S","REF","ASSOC","15","2","US","2","0","0"
"218","11827",25655.3333333333,3,"F","S","INTINT","SOMECOLL","15","2","ELNC","2","0","0"
"219","11076",14130,1,"F","D","REF","SOMECOLL","07","2","US","2","0","0"
"220","11737",22998.415,4,"F","S","REF","SOMECOLL","15","2","US","2","0","0"
"221","11387",26035.6133333333,3,"F","S","REF","SOMECOLL","15","2","US","2","1","0"
"222","12243",21946.3333333333,3,"F","S","RADIO","SOMECOLL","15","2","US","2","0","0"
"223","11619",16904,1,"F","S","RADIO","SOMECOLL","15","2","US","1","0","0"
"224","11422",20013.8866666667,3,"F","S","PPC","SOMECOLL","03","1","US","2","0","0"
"225","12001",37628,2,"F","S","REF","SOMECOLL","15","2","US","2","0","0"
"226","12096",27364.6666666667,3,"F","D","INTINT","SOMECOLL","15","2","US","2","0","0"
"227","11736",17900.8333333333,3,"F","D","INTINT","SOMECOLL","30","2","US","2","0","0"
"228","10814",24479.2,3,"M","S","INTINT","SOMECOLL","15","2","US","2","0","0"
"229","10173",25367.1833333333,3,"M","S","REF","SOMECOLL","15","2","US","2","0","0"
